Tab,Main cybercrime type,Cybercrime subcategory,Cybercrime incident type,Gender,Age,Small-to-medium business owner status,2024 prevalence (%),2023 adjusted estimates (%),2024 adjusted estimates (%),Statistically significant difference (2023 vs 2024)
Tab 1,Fraud and scams,Relationship scams,,Male,All ages,All,0.2,,,
Tab 1,Fraud and scams,Relationship scams,,Female,All ages,All,0.3,,,
Tab 1,Fraud and scams,Relationship scams,,All persons,18 – 34,All,0.4,,,
Tab 1,Fraud and scams,Relationship scams,,All persons,35 – 64,All,0.1,,,
Tab 1,Fraud and scams,Relationship scams,,All persons,65+,All,0.2,,,
Tab 1,Fraud and scams,Relationship scams,,All persons,All ages,SME owner,0.6,,,
Tab 1,Fraud and scams,Relationship scams,,All persons,All ages,Not an SME owner,0.2,,,
Tab 1,Fraud and scams,Relationship scams,,All persons,All ages,All,0.2,,,
Tab 1,Fraud and scams,Remote access scams,,Male,All ages,All,0.9,,,
Tab 1,Fraud and scams,Remote access scams,,Female,All ages,All,0.9,,,
Tab 1,Fraud and scams,Remote access scams,,All persons,18 – 34,All,1,,,
Tab 1,Fraud and scams,Remote access scams,,All persons,35 – 64,All,0.5,,,
Tab 1,Fraud and scams,Remote access scams,,All persons,65+,All,1.8,,,
Tab 1,Fraud and scams,Remote access scams,,All persons,All ages,SME owner,1.5,,,
Tab 1,Fraud and scams,Remote access scams,,All persons,All ages,Not an SME owner,0.8,,,
Tab 1,Fraud and scams,Remote access scams,,All persons,All ages,All,0.9,,,
Tab 1,Fraud and scams,Money recovery scams,,Male,All ages,All,0.3,,,
Tab 1,Fraud and scams,Money recovery scams,,Female,All ages,All,0.3,,,
Tab 1,Fraud and scams,Money recovery scams,,All persons,18 – 34,All,0.5,,,
Tab 1,Fraud and scams,Money recovery scams,,All persons,35 – 64,All,0.2,,,
Tab 1,Fraud and scams,Money recovery scams,,All persons,65+,All,0.3,,,
Tab 1,Fraud and scams,Money recovery scams,,All persons,All ages,SME owner,0.6,,,
Tab 1,Fraud and scams,Money recovery scams,,All persons,All ages,Not an SME owner,0.3,,,
Tab 1,Fraud and scams,Money recovery scams,,All persons,All ages,All,0.3,,,
Tab 1,Fraud and scams,Unexpected money scams,,Male,All ages,All,1.1,,,
Tab 1,Fraud and scams,Unexpected money scams,,Female,All ages,All,0.8,,,
Tab 1,Fraud and scams,Unexpected money scams,,All persons,18 – 34,All,1.8,,,
Tab 1,Fraud and scams,Unexpected money scams,,All persons,35 – 64,All,0.7,,,
Tab 1,Fraud and scams,Unexpected money scams,,All persons,65+,All,0.4,,,
Tab 1,Fraud and scams,Unexpected money scams,,All persons,All ages,SME owner,1.7,,,
Tab 1,Fraud and scams,Unexpected money scams,,All persons,All ages,Not an SME owner,0.8,,,
Tab 1,Fraud and scams,Unexpected money scams,,All persons,All ages,All,1,,,
Tab 1,Fraud and scams,Phishing scams,,Male,All ages,All,1.8,,,
Tab 1,Fraud and scams,Phishing scams,,Female,All ages,All,1,,,
Tab 1,Fraud and scams,Phishing scams,,All persons,18 – 34,All,2,,,
Tab 1,Fraud and scams,Phishing scams,,All persons,35 – 64,All,1.1,,,
Tab 1,Fraud and scams,Phishing scams,,All persons,65+,All,1.3,,,
Tab 1,Fraud and scams,Phishing scams,,All persons,All ages,SME owner,2.9,,,
Tab 1,Fraud and scams,Phishing scams,,All persons,All ages,Not an SME owner,1.1,,,
Tab 1,Fraud and scams,Phishing scams,,All persons,All ages,All,1.4,,,
Tab 1,Fraud and scams,Other scams,,Male,All ages,All,1.6,,,
Tab 1,Fraud and scams,Other scams,,Female,All ages,All,1.4,,,
Tab 1,Fraud and scams,Other scams,,All persons,18 – 34,All,2.5,,,
Tab 1,Fraud and scams,Other scams,,All persons,35 – 64,All,1,,,
Tab 1,Fraud and scams,Other scams,,All persons,65+,All,1.3,,,
Tab 1,Fraud and scams,Other scams,,All persons,All ages,SME owner,2.5,,,
Tab 1,Fraud and scams,Other scams,,All persons,All ages,Not an SME owner,1.3,,,
Tab 1,Fraud and scams,Other scams,,All persons,All ages,All,1.5,,,
Tab 2,Online abuse and harassment,Extortion or harassment involving images or videos,Extortion or harassment involving images or videos,All respondents,All respondents,All respondents,5.4,,,
Tab 2,Online abuse and harassment,Extortion or harassment involving images or videos,"Respondent was threatened with the release of sensitive, personal, compromising or intimate photos, video or information that was stored online, on a digital device or sent in messages",All respondents,All respondents,All respondents,2.9,,,
Tab 2,Online abuse and harassment,Extortion or harassment involving images or videos,"Someone used coercion, blackmail or demands to try and get respondent to send them sensitive, personal or compromising photos, video or information that was stored online, on a digital device or sent in messages",All respondents,All respondents,All respondents,1.7,,,
Tab 2,Online abuse and harassment,Extortion or harassment involving images or videos,"Someone sent or posted photos and videos of respondent to others to try and embarrass, hurt or blackmail them",All respondents,All respondents,All respondents,0.8,,,
Tab 2,Online abuse and harassment,Extortion or harassment involving images or videos,"Someone shared or published sensitive, personal, compromising or intimate photos or videos of respondent without their consent",All respondents,All respondents,All respondents,0.9,,,
Tab 2,Online abuse and harassment,Impersonation,Impersonation,All respondents,All respondents,All respondents,7.6,,,
Tab 2,Online abuse and harassment,Impersonation,Someone hacked into respondent’s social media or network account (including communicating with their contacts or posting messages or status updates from their accounts),All respondents,All respondents,All respondents,4.8,,,
Tab 2,Online abuse and harassment,Impersonation,Someone set up fake social media or networking profiles pretending to be respondent (eg and communicated with their contacts or posted messages or status updates from their accounts),All respondents,All respondents,All respondents,3.4,,,
Tab 2,Online abuse and harassment,Impersonation,Someone created fake videos or photos of respondent (eg ‘deep fakes’),All respondents,All respondents,All respondents,0.6,,,
Tab 2,Online abuse and harassment,Sharing without consent,Sharing without consent,All respondents,All respondents,All respondents,3.1,,,
Tab 2,Online abuse and harassment,Sharing without consent,Someone stole respondent’s online personal information (including photos and videos) and used it without their permission,All respondents,All respondents,All respondents,2,,,
Tab 2,Online abuse and harassment,Sharing without consent,"Someone published identifying information (such as respondent’s full name, contact number, address, school etc) with malicious intent (ie doxxing)",All respondents,All respondents,All respondents,1.5,,,
Tab 2,Online abuse and harassment,Stalking and harassing,Stalking and harassing,All respondents,All respondents,All respondents,2.9,,,
Tab 2,Online abuse and harassment,Stalking and harassing,"Someone used technology to stalk or repeatedly harass respondent, including being contacted by someone they had blocked or asked to not contact them",All respondents,All respondents,All respondents,2.9,,,
Tab 2,Online abuse and harassment,Controlling and restricting,Controlling and restricting,All respondents,All respondents,All respondents,3.8,,,
Tab 2,Online abuse and harassment,Controlling and restricting,"Someone restricted respondent’s access to online resources (eg social media, electronic legal documents, banking and utility accounts, etc)",All respondents,All respondents,All respondents,1.8,,,
Tab 2,Online abuse and harassment,Controlling and restricting,"Someone monitored respondent’s activity online or on their phone (including installing spyware, going through their private messages, etc)",All respondents,All respondents,All respondents,1.5,,,
Tab 2,Online abuse and harassment,Controlling and restricting,Someone tried to stop respondent from communicating with others online or over their mobile,All respondents,All respondents,All respondents,1.3,,,
Tab 2,Online abuse and harassment,Hate speech,Hate speech,All respondents,All respondents,All respondents,3.2,,,
Tab 2,Online abuse and harassment,Hate speech,"Someone subjected respondent to hate speech or made derogatory, malicious or threatening comments directly to respondent based on their religion, ethnicity, gender, sexuality or ideology",All respondents,All respondents,All respondents,3.2,,,
Tab 2,Online abuse and harassment,Cyberbullying,Cyberbullying,All respondents,All respondents,All respondents,5.6,,,
Tab 2,Online abuse and harassment,Cyberbullying,"Someone sent or posted mean or hurtful messages via electronic communication (eg emails, social media or text messages) that made respondent feel hurt, embarrassed or unsafe",All respondents,All respondents,All respondents,4.2,,,
Tab 2,Online abuse and harassment,Cyberbullying,"Someone spread rumours about respondent via electronic communication (eg emails, social media or text messages)",All respondents,All respondents,All respondents,2.3,,,
Tab 2,Online abuse and harassment,Unsolicited sexual content,Unsolicited sexual content,All respondents,All respondents,All respondents,7.6,,,
Tab 2,Online abuse and harassment,Unsolicited sexual content,"Respondent was sent unsolicited sexually explicit messages, images or videos",All respondents,All respondents,All respondents,7.6,,,
Tab 2,Online abuse and harassment,Unsolicited sexual content,"Respondent fell victim to some other type of online abuse and harassment, not specified above",All respondents,All respondents,All respondents,0.2,,,
Tab 2,Malware,Suspected malware,Suspected malware,All respondents,All respondents,All respondents,17.2,,,
Tab 2,Malware,Suspected malware,Popup ads started popping up everywhere,All respondents,All respondents,All respondents,5.8,,,
Tab 2,Malware,Suspected malware,Respondent’s device slowed down and acted strangely,All respondents,All respondents,All respondents,4.9,,,
Tab 2,Malware,Suspected malware,People respondent knew told them they had been sending suspicious messages and links over social media or email,All respondents,All respondents,All respondents,2.8,,,
Tab 2,Malware,Suspected malware,Respondent’s devices kept crashing for some reason,All respondents,All respondents,All respondents,2.4,,,
Tab 2,Malware,Suspected malware,Respondent’s browser kept getting redirected when they tried to search for a familiar site,All respondents,All respondents,All respondents,2.4,,,
Tab 2,Malware,Suspected malware,Programs were opening and closing automatically,All respondents,All respondents,All respondents,2.2,,,
Tab 2,Malware,Suspected malware,There was a lack of storage space that respondent couldn’t explain,All respondents,All respondents,All respondents,2.1,,,
Tab 2,Malware,Suspected malware,Respondent’s device was working excessively while no programs were running,All respondents,All respondents,All respondents,1.9,,,
Tab 2,Malware,Suspected malware,Respondent’s files had gone missing or been replaced with odd file extensions and the icons for the files were blank,All respondents,All respondents,All respondents,0.8,,,
Tab 2,Malware,Suspected malware,Previously accessible system tools (such as personalised or security settings) were disabled,All respondents,All respondents,All respondents,0.7,,,
Tab 2,Malware,Pure ransomware,Pure ransomware,All respondents,All respondents,All respondents,2.4,,,
Tab 2,Malware,Pure ransomware,"Respondent’s devices, servers, service or networks were disrupted (eg slowed down, lost connection, had outages) and they received instructions for paying a ransom to restore functionality",All respondents,All respondents,All respondents,1.5,,,
Tab 2,Malware,Pure ransomware,"Respondent’s systems, devices or files had a virus or were inaccessible (eg locked or unreadable) and they received instructions for paying a ransom to restore access",All respondents,All respondents,All respondents,1.1,,,
Tab 2,Malware,Ransomware-related data theft and extortion,Ransomware-related data theft and extortion,All respondents,All respondents,All respondents,2.6,,,
Tab 2,Malware,Ransomware-related data theft and extortion,Respondent received a ransom message on their device to say their data or information had been stolen and they had to pay to prevent this information from being leaked or sold online,All respondents,All respondents,All respondents,2.6,,,
Tab 2,Malware,Other malware,Other malware,All respondents,All respondents,All respondents,0.4,,,
Tab 2,Malware,Other malware,"Respondent fell victim to some other type of malware, not specified above",All respondents,All respondents,All respondents,0.4,,,
Tab 2,Identity crime and misuse,Compromise of financial accounts,Compromise of financial accounts,All respondents,All respondents,All respondents,17.5,,,
Tab 2,Identity crime and misuse,Compromise of financial accounts,"Suspicious transactions appeared in respondent’s bank statements or accounts, credit card or credit report",All respondents,All respondents,All respondents,10.1,,,
Tab 2,Identity crime and misuse,Compromise of financial accounts,Respondent received calls from debt collectors asking about unpaid bills they did not recognise,All respondents,All respondents,All respondents,4.4,,,
Tab 2,Identity crime and misuse,Compromise of financial accounts,"Someone used respondent’s details to purchase or order something or they received unfamiliar bills, invoices or receipts",All respondents,All respondents,All respondents,2.9,,,
Tab 2,Identity crime and misuse,Compromise of financial accounts,"Respondent was unsuccessful in applying for credit, and this was surprising given their credit history",All respondents,All respondents,All respondents,1.1,,,
Tab 2,Identity crime and misuse,Compromise of financial accounts,"Someone tried to open a new bank account, apply for a new loan or obtain credit with respondent’s personal details or they received credit/payment cards in the mail that they did not apply for",All respondents,All respondents,All respondents,0.8,,,
Tab 2,Identity crime and misuse,Compromise of financial accounts,Someone tried to obtain money from one of respondent’s investments or superannuation accounts,All respondents,All respondents,All respondents,0.6,,,
Tab 2,Identity crime and misuse,Non financial identity compromise,Other identity compromise,All respondents,All respondents,All respondents,4.7,,,
Tab 2,Identity crime and misuse,Non financial identity compromise,Someone used respondent’s personal details (including images) to create an impersonation account to extort their contacts,All respondents,All respondents,All respondents,1.1,,,
Tab 2,Identity crime and misuse,Non financial identity compromise,"Someone used respondent’s personal details to open a mobile phone or utility account, or their current mobile phone or other utility lost service because their service has been transferred to a new unknown device",All respondents,All respondents,All respondents,0.8,,,
Tab 2,Identity crime and misuse,Non financial identity compromise,"Respondent got a medical bill for a service they did not receive, or a medical claim was rejected because they had unexpectedly already reached their benefits limit",All respondents,All respondents,All respondents,0.7,,,
Tab 2,Identity crime and misuse,Non financial identity compromise,Someone gained access to respondent’s cryptocurrency wallet or exchange account and made transactions or stole currency,All respondents,All respondents,All respondents,0.6,,,
Tab 2,Identity crime and misuse,Non financial identity compromise,Someone used respondent’s personal details to create a fake cryptocurrency wallet or exchange account,All respondents,All respondents,All respondents,0.6,,,
Tab 2,Identity crime and misuse,Non financial identity compromise,Someone used respondent’s personal details to attempt to apply for a job or rent a property,All respondents,All respondents,All respondents,0.5,,,
Tab 2,Identity crime and misuse,Non financial identity compromise,Someone used respondent’s personal details to fraudulently apply for government benefits,All respondents,All respondents,All respondents,0.5,,,
Tab 2,Identity crime and misuse,Non financial identity compromise,Someone used respondent’s personal details to attempt to give false info to police,All respondents,All respondents,All respondents,0.5,,,
Tab 2,Identity crime and misuse,Non financial identity compromise,Respondent was unable to file taxes because someone had already filed a tax return in their name,All respondents,All respondents,All respondents,0.5,,,
Tab 2,Identity crime and misuse,Other identity crime and misuse,"Respondent fell victim to some other type of identity crime and misuse, not specified above",All respondents,All respondents,All respondents,1.1,,,
Tab 2,Fraud and scams,Investment scams,Investment scams,All respondents,All respondents,All respondents,1.5,,,
Tab 2,Fraud and scams,Investment scams,"Respondent lost cryptocurrency in an exit scam or ‘rug-pull’, where cryptocurrency developers or promoters abandon a project and disappear with investors’ funds",All respondents,All respondents,All respondents,0.4,,,
Tab 2,Fraud and scams,Investment scams,Respondent lost money or provided sensitive information in another kind of cryptocurrency scam,All respondents,All respondents,All respondents,0.4,,,
Tab 2,Fraud and scams,Investment scams,"Respondent paid money or provided sensitive information to a scammer to buy into an illegitimate investment, trading or shares scheme or to get early access to their super fund",All respondents,All respondents,All respondents,0.4,,,
Tab 2,Fraud and scams,Investment scams,"Respondent lost cryptocurrency to a scammer in a pretend ‘give away’, business opportunity or investment opportunity",All respondents,All respondents,All respondents,0.3,,,
Tab 2,Fraud and scams,Investment scams,Respondent paid money or provided sensitive information to some other fraudulent scheme related to their super fund,All respondents,All respondents,All respondents,0.2,,,
Tab 2,Fraud and scams,Job and employment scams,Job and employment scams,All respondents,All respondents,All respondents,0.3,,,
Tab 2,Fraud and scams,Job and employment scams,Respondent lost money or provided sensitive information to a scammer offering a job or employment,All respondents,All respondents,All respondents,0.3,,,
Tab 2,Fraud and scams,Buying products or services scams,Buying products or services scams,All respondents,All respondents,All respondents,4.4,,,
Tab 2,Fraud and scams,Buying products or services scams,Respondent paid money or provided sensitive information when trying to buy a product or service from a fake or fraudulent seller online,All respondents,All respondents,All respondents,2.3,,,
Tab 2,Fraud and scams,Buying products or services scams,Respondent paid money or provided sensitive information when trying to sell a product or service to a fake or fraudulent buyer online,All respondents,All respondents,All respondents,0.6,,,
Tab 2,Fraud and scams,Buying products or services scams,Respondent paid a fake invoice or bill for some other product or service that they did not receive,All respondents,All respondents,All respondents,0.6,,,
Tab 2,Fraud and scams,Buying products or services scams,"Respondent paid money for health products, medicines or drugs from an online pharmacy and the products never arrived or were counterfeit",All respondents,All respondents,All respondents,0.5,,,
Tab 2,Fraud and scams,Buying products or services scams,"Respondent sent money to a scammer posing as a known business supplier, service institution or company telling them that their banking details had changed",All respondents,All respondents,All respondents,0.5,,,
Tab 2,Fraud and scams,Buying products or services scams,"Respondent paid a fake invoice for directory listings, advertising, domain name renewals or office supplies",All respondents,All respondents,All respondents,0.3,,,
Tab 2,Fraud and scams,Donation scams,Donation scams,All respondents,All respondents,All respondents,0.2,,,
Tab 2,Fraud and scams,Donation scams,Respondent paid money or provided sensitive information to a scammer pretending to be a charity or disaster relief effort,All respondents,All respondents,All respondents,0.2,,,
Tab 2,Fraud and scams,Relationship scams,Relationship scams,All respondents,All respondents,All respondents,0.2,,,
Tab 2,Fraud and scams,Relationship scams,"Respondent paid money, provided sensitive information or sent intimate images or videos to a scammer pretending to be a potential romantic partner",All respondents,All respondents,All respondents,0.2,,,
Tab 2,Fraud and scams,Remote access scams,Remote access scams,All respondents,All respondents,All respondents,0.9,,,
Tab 2,Fraud and scams,Remote access scams,"Respondent allowed someone pretending to be from a telecommunications or computer company to remotely access their computer, or paid them money or provided sensitive information",All respondents,All respondents,All respondents,0.5,,,
Tab 2,Fraud and scams,Remote access scams,Respondent allowed some other kind of scammer to remotely access their computer,All respondents,All respondents,All respondents,0.5,,,
Tab 2,Fraud and scams,Money recovery scam,Money recovery scam,All respondents,All respondents,All respondents,0.3,,,
Tab 2,Fraud and scams,Money recovery scam,Respondent paid money or provided sensitive information to a scammer who was offering to help them recover from a previous scam,All respondents,All respondents,All respondents,0.3,,,
Tab 2,Fraud and scams,Unexpected money scams,Unexpected money scams,All respondents,All respondents,All respondents,0.9,,,
Tab 2,Fraud and scams,Unexpected money scams,Respondent paid money or provided sensitive information to a scammer offering them the false promise of an inheritance or share in a large sum of money in exchange for assistance,All respondents,All respondents,All respondents,0.3,,,
Tab 2,Fraud and scams,Unexpected money scams,Respondent paid money or provided sensitive information to a scammer offering the false promise of prize money or a holiday package,All respondents,All respondents,All respondents,0.3,,,
Tab 2,Fraud and scams,Unexpected money scams,"Respondent paid money or provided sensitive information to a scammer falsely offering a rebate from the government, a bank or trusted organisation",All respondents,All respondents,All respondents,0.2,,,
Tab 2,Fraud and scams,Unexpected money scams,"Respondent paid money or provided sensitive information to a scammer falsely offering some other benefit or payment from the government, a bank or trusted organisation",All respondents,All respondents,All respondents,0.2,,,
Tab 2,Fraud and scams,Phishing scams,Phishing scams,All respondents,All respondents,All respondents,1.4,,,
Tab 2,Fraud and scams,Phishing scams,"Respondent paid money or provided sensitive information to a scammer pretending to be from a known service institution or company (bank, internet provider, post office, etc)",All respondents,All respondents,All respondents,0.5,,,
Tab 2,Fraud and scams,Phishing scams,"Respondent paid money or provided sensitive information to a scammer pretending to be someone they personally know, such as a family member, friend or work associate",All respondents,All respondents,All respondents,0.4,,,
Tab 2,Fraud and scams,Phishing scams,"Respondent paid money or provided sensitive information to someone pretending to be a bank, government or law enforcement official for things like a speeding fine, tax office debt, or immigration or visa issue",All respondents,All respondents,All respondents,0.3,,,
Tab 2,Fraud and scams,Phishing scams,"Respondent paid money or provided sensitive information to someone pretending to be a bank, government or law enforcement official for some other fine, bill or debt",All respondents,All respondents,All respondents,0.2,,,
Tab 2,Fraud and scams,Other scams,Other scams,All respondents,All respondents,All respondents,1.5,,,
Tab 2,Fraud and scams,Other scams,"Respondent lost money buying sports betting prediction software, or becoming a member of a sport betting syndicate or investment scheme, because these schemes did not work as advertised",All respondents,All respondents,All respondents,0.5,,,
Tab 2,Fraud and scams,Other scams,Respondent paid for extremely high call or text rates when replying to unsolicited SMS competitions,All respondents,All respondents,All respondents,0.1,,,
Tab 2,Fraud and scams,Other scams,Respondent sent money or provided sensitive information to some other kind of scammer who gave them fraudulent bank or payment details,All respondents,All respondents,All respondents,0.4,,,
Tab 2,Fraud and scams,Other scams,"Respondent fell victim to some other type of online scam or fraud, not already specified",All respondents,All respondents,All respondents,0.5,,,
Tab 3,Online abuse and harassment,,,Male,All ages,All,,29,27.2,no
Tab 3,Online abuse and harassment,,,Female,All ages,All,,25.9,24.4,no
Tab 3,Online abuse and harassment,,,All persons,18 – 34,All,,33.7,32.7,no
Tab 3,Online abuse and harassment,,,All persons,35 – 64,All,,25.7,24.5,no
Tab 3,Online abuse and harassment,,,All persons,65+,All,,23,19.7,p<.01
Tab 3,Online abuse and harassment,,,All persons,All ages,SME owner,,38.3,37.7,no
Tab 3,Online abuse and harassment,,,All persons,All ages,Not an SME owner,,25.8,24.2,p<.05
Tab 3,Online abuse and harassment,,,All persons,All ages,All,,27.5,25.9,p<.01
Tab 3,Malware,,,Male,All ages,All,,22.7,21.1,no
Tab 3,Malware,,,Female,All ages,All,,21.7,18.5,p<.001
Tab 3,Malware,,,All persons,18 – 34,All,,27.1,24.8,no
Tab 3,Malware,,,All persons,35 – 64,All,,19.9,19,no
Tab 3,Malware,,,All persons,65+,All,,20.5,14.7,p<.001
Tab 3,Malware,,,All persons,All ages,SME owner,,30.8,27.2,p<.05
Tab 3,Malware,,,All persons,All ages,Not an SME owner,,20.8,18.7,p<.01
Tab 3,Malware,,,All persons,All ages,All,,22.2,19.8,p<.001
Tab 3,Identity crime and misuse,,,Male,All ages,All,,20.4,21,no
Tab 3,Identity crime and misuse,,,Female,All ages,All,,20.4,20.1,no
Tab 3,Identity crime and misuse,,,All persons,18 – 34,All,,23.4,22.8,no
Tab 3,Identity crime and misuse,,,All persons,35 – 64,All,,19.7,19.7,no
Tab 3,Identity crime and misuse,,,All persons,65+,All,,17.7,19.4,no
Tab 3,Identity crime and misuse,,,All persons,All ages,SME owner,,29.2,28.9,no
Tab 3,Identity crime and misuse,,,All persons,All ages,Not an SME owner,,19,19.3,no
Tab 3,Identity crime and misuse,,,All persons,All ages,All,,20.4,20.6,no
Tab 3,Fraud and scams,,,Male,All ages,All,,9.4,7.2,p<.001
Tab 3,Fraud and scams,,,Female,All ages,All,,6.7,6.6,no
Tab 3,Fraud and scams,,,All persons,18 – 34,All,,11.4,10.1,no
Tab 3,Fraud and scams,,,All persons,35 – 64,All,,6.6,5.5,p<.05
Tab 3,Fraud and scams,,,All persons,65+,All,,6.5,5.5,no
Tab 3,Fraud and scams,,,All persons,All ages,SME owner,,14.6,11.9,p<.05
Tab 3,Fraud and scams,,,All persons,All ages,Not an SME owner,,7,6.2,no
Tab 3,Fraud and scams,,,All persons,All ages,All,,8.1,6.9,p<.01
Tab 3,Any cybercrime (all),,,Male,All ages,All,,47.5,46.9,no
Tab 3,Any cybercrime (all),,,Female,All ages,All,,46.5,44.4,p<.05
Tab 3,Any cybercrime (all),,,All persons,18 – 34,All,,51.9,50.2,no
Tab 3,Any cybercrime (all),,,All persons,35 – 64,All,,44.8,44.5,no
Tab 3,Any cybercrime (all),,,All persons,65+,All,,45.3,42.5,no
Tab 3,Any cybercrime (all),,,All persons,All ages,SME owner,,57,55.2,no
Tab 3,Any cybercrime (all),,,All persons,All ages,Not an SME owner,,45.4,44.5,no
Tab 3,Any cybercrime (all),,,All persons,All ages,All,,47,45.7,no
Tab 3,Online abuse and harassment,Extortion or harassment involving images or videos,,All respondents,All respondents,All respondents,,5.2,5.2,no
Tab 3,Online abuse and harassment,Impersonation,,All respondents,All respondents,All respondents,,7.5,7.4,no
Tab 3,Online abuse and harassment,Sharing without consent,,All respondents,All respondents,All respondents,,3.5,3,no
Tab 3,Online abuse and harassment,Stalking and harassing,,All respondents,All respondents,All respondents,,2.6,2.7,no
Tab 3,Online abuse and harassment,Controlling and restricting,,All respondents,All respondents,All respondents,,4.1,3.7,no
Tab 3,Online abuse and harassment,Hate speech,,All respondents,All respondents,All respondents,,2.7,2.9,no
Tab 3,Online abuse and harassment,Cyberbullying,,All respondents,All respondents,All respondents,,5.1,5.3,no
Tab 3,Online abuse and harassment,Unsolicited sexual content,,All respondents,All respondents,All respondents,,9.9,7.5,no
Tab 3,Online abuse and harassment,Other online abuse and harassment,,All respondents,All respondents,All respondents,,,,
Tab 3,Malware,Suspected malware,,All respondents,All respondents,All respondents,,19.4,16.8,p<.001
Tab 3,Malware,Pure ransomware,,All respondents,All respondents,All respondents,,2.5,2.3,no
Tab 3,Malware,Ransomware-related data theft and extortion,,All respondents,All respondents,All respondents,,2.8,2.6,no
Tab 3,Malware,Other malware,,All respondents,All respondents,All respondents,,,,
Tab 3,Identity crime and misuse,Compromise of financial accounts,,All respondents,All respondents,All respondents,,17.8,17.3,no
Tab 3,Identity crime and misuse,Non financial identity compromise,,All respondents,All respondents,All respondents,,3.8,4.4,p<.05
Tab 3,Identity crime and misuse,Other identity crime and misuse,,All respondents,All respondents,All respondents,,,,
Tab 3,Fraud and scams,Investment scams,,All respondents,All respondents,All respondents,,1.1,0.9,no
Tab 3,Fraud and scams,Job and employment scams,,All respondents,All respondents,All respondents,,0.3,0.3,no
Tab 3,Fraud and scams,Buying products or services scams,,All respondents,All respondents,All respondents,,3.6,3.8,no
Tab 3,Fraud and scams,Donation scams,,All respondents,All respondents,All respondents,,0.3,0.2,no
Tab 3,Fraud and scams,Relationship scams,,All respondents,All respondents,All respondents,,0.5,0.2,p<.01
Tab 3,Fraud and scams,Remote access scams,,All respondents,All respondents,All respondents,,0.7,0.5,no
Tab 3,Fraud and scams,Money recovery scams,,All respondents,All respondents,All respondents,,,,
Tab 3,Fraud and scams,Unexpected money scams,,All respondents,All respondents,All respondents,,0.9,0.7,no
Tab 3,Fraud and scams,Phishing scams,,All respondents,All respondents,All respondents,,1.6,0.8,p<.001
Tab 3,Fraud and scams,Other scams,,All respondents,All respondents,All respondents,,0.7,0.5,no
