Tab,Main cybercrime type,Cybercrime subcategory,Cybercrime incident type,Gender,Age,Small-to-medium business owner status,2024 prevalence (%),2023 adjusted estimates (%),2024 adjusted estimates (%),Statistically significant difference (2023 vs 2024)
Tab 1,Identity crime and misuse,,,All persons,All ages,Not an SME owner,20.3,,,
Tab 1,Identity crime and misuse,,,All persons,18 – 34,All,23.6,,,
Tab 1,Identity crime and misuse,,,All persons,35 – 64,All,21.4,,,
Tab 1,Identity crime and misuse,,,All persons,65+,All,20.4,,,
Tab 1,Identity crime and misuse,,,All persons,All ages,All,21.9,,,
Tab 1,Fraud and scams,,,Male,18 – 34,SME owner,32,,,
Tab 1,Fraud and scams,,,Male,35 – 64,SME owner,9.3,,,
Tab 1,Fraud and scams,,,Male,65+,SME owner,8.5,,,
Tab 1,Fraud and scams,,,Male,All ages,SME owner,15.8,,,
Tab 1,Fraud and scams,,,Male,18 – 34,Not an SME owner,11.6,,,
Tab 1,Fraud and scams,,,Male,35 – 64,Not an SME owner,6.1,,,
Tab 1,Fraud and scams,,,Male,65+,Not an SME owner,7.5,,,
Tab 1,Fraud and scams,,,Male,All ages,Not an SME owner,8.2,,,
Tab 1,Fraud and scams,,,Male,18 – 34,All,15.3,,,
Tab 1,Fraud and scams,,,Male,35 – 64,All,6.9,,,
Tab 1,Fraud and scams,,,Male,65+,All,7.5,,,
Tab 1,Fraud and scams,,,Male,All ages,All,9.7,,,
Tab 1,Fraud and scams,,,Female,18 – 34,SME owner,25.6,,,
Tab 1,Fraud and scams,,,Female,35 – 64,SME owner,11.6,,,
Tab 1,Fraud and scams,,,Female,65+,SME owner,2.2,,,
Tab 1,Fraud and scams,,,Female,All ages,SME owner,14.5,,,
Tab 1,Fraud and scams,,,Female,18 – 34,Not an SME owner,9.5,,,
Tab 1,Fraud and scams,,,Female,35 – 64,Not an SME owner,7.9,,,
Tab 1,Fraud and scams,,,Female,65+,Not an SME owner,9.7,,,
Tab 1,Fraud and scams,,,Female,All ages,Not an SME owner,8.8,,,
Tab 1,Fraud and scams,,,Female,18 – 34,All,11.2,,,
Tab 1,Fraud and scams,,,Female,35 – 64,All,8.4,,,
Tab 1,Fraud and scams,,,Female,65+,All,9.3,,,
Tab 1,Fraud and scams,,,Female,All ages,All,9.4,,,
Tab 1,Fraud and scams,,,All persons,18 – 34,SME owner,29.3,,,
Tab 1,Fraud and scams,,,All persons,35 – 64,SME owner,10.2,,,
Tab 1,Fraud and scams,,,All persons,65+,SME owner,5.7,,,
Tab 1,Fraud and scams,,,All persons,All ages,SME owner,15.2,,,
Tab 1,Fraud and scams,,,All persons,18 – 34,Not an SME owner,10.5,,,
Tab 1,Fraud and scams,,,All persons,35 – 64,Not an SME owner,7.1,,,
Tab 1,Fraud and scams,,,All persons,65+,Not an SME owner,8.7,,,
Tab 1,Fraud and scams,,,All persons,All ages,Not an SME owner,8.5,,,
Tab 1,Fraud and scams,,,All persons,18 – 34,All,13.2,,,
Tab 1,Fraud and scams,,,All persons,35 – 64,All,7.7,,,
Tab 1,Fraud and scams,,,All persons,65+,All,8.4,,,
Tab 1,Fraud and scams,,,All persons,All ages,All,9.5,,,
Tab 1,Any cybercrime (all),,,Male,18 – 34,SME owner,65.7,,,
Tab 1,Any cybercrime (all),,,Male,35 – 64,SME owner,51.7,,,
Tab 1,Any cybercrime (all),,,Male,65+,SME owner,45.7,,,
Tab 1,Any cybercrime (all),,,Male,All ages,SME owner,55.2,,,
Tab 1,Any cybercrime (all),,,Male,18 – 34,Not an SME owner,49.7,,,
Tab 1,Any cybercrime (all),,,Male,35 – 64,Not an SME owner,45.6,,,
Tab 1,Any cybercrime (all),,,Male,65+,Not an SME owner,45.7,,,
Tab 1,Any cybercrime (all),,,Male,All ages,Not an SME owner,46.9,,,
Tab 1,Any cybercrime (all),,,Male,18 – 34,All,52.4,,,
