Cybercrime type,Individual / business,Variable,2023,2024,Impacts,Significant difference
Online abuse and harassment only,Business,Reputation and revenue,8.5,4.8,"Reputation and revenue includes: • There was a loss of customers, sales or revenue • The business reputation was damaged • We lost business contracts • Professional relationships were damaged",
Malware only,Business,Reputation and revenue,7.6,5.8,"Reputation and revenue includes: • There was a loss of customers, sales or revenue • The business reputation was damaged • We lost business contracts • Professional relationships were damaged",
Identity crime and misuse only,Business,Reputation and revenue,0.7,1.4,"Reputation and revenue includes: • There was a loss of customers, sales or revenue • The business reputation was damaged • We lost business contracts • Professional relationships were damaged",
Fraud and scams only,Business,Reputation and revenue,0,0,"Reputation and revenue includes: • There was a loss of customers, sales or revenue • The business reputation was damaged • We lost business contracts • Professional relationships were damaged",
All cybercrime,Business,Reputation and revenue,10.2,12.8,"Reputation and revenue includes: • There was a loss of customers, sales or revenue • The business reputation was damaged • We lost business contracts • Professional relationships were damaged",no
Online abuse and harassment only,Business,Loss of information,3.3,4.2,"Loss of information includes: • The business had to notify affected parties of a data breach • Theft of my information or other staff information (eg contact details, financial data) • Theft of customer or supplier information (eg contact details, financial data) • Theft of intellectual property or corporate information",
Malware only,Business,Loss of information,4.1,4,"Loss of information includes: • The business had to notify affected parties of a data breach • Theft of my information or other staff information (eg contact details, financial data) • Theft of customer or supplier information (eg contact details, financial data) • Theft of intellectual property or corporate information",
Identity crime and misuse only,Business,Loss of information,0.7,2.4,"Loss of information includes: • The business had to notify affected parties of a data breach • Theft of my information or other staff information (eg contact details, financial data) • Theft of customer or supplier information (eg contact details, financial data) • Theft of intellectual property or corporate information",
Fraud and scams only,Business,Loss of information,6.4,0,"Loss of information includes: • The business had to notify affected parties of a data breach • Theft of my information or other staff information (eg contact details, financial data) • Theft of customer or supplier information (eg contact details, financial data) • Theft of intellectual property or corporate information",
All cybercrime,Business,Loss of information,10,12.8,"Loss of information includes: • The business had to notify affected parties of a data breach • Theft of my information or other staff information (eg contact details, financial data) • Theft of customer or supplier information (eg contact details, financial data) • Theft of intellectual property or corporate information",no
Online abuse and harassment only,Business,Impacts on staff,1.5,3.9,Impacts on staff includes: • Employees/owners of the business had to take time off work • Employees/owners of the business resigned or lost their job,
Malware only,Business,Impacts on staff,2.8,5.2,Impacts on staff includes: • Employees/owners of the business had to take time off work • Employees/owners of the business resigned or lost their job,
Identity crime and misuse only,Business,Impacts on staff,0,0.8,Impacts on staff includes: • Employees/owners of the business had to take time off work • Employees/owners of the business resigned or lost their job,
Fraud and scams only,Business,Impacts on staff,0,0,Impacts on staff includes: • Employees/owners of the business had to take time off work • Employees/owners of the business resigned or lost their job,
All cybercrime,Business,Impacts on staff,5.4,5.9,Impacts on staff includes: • Employees/owners of the business had to take time off work • Employees/owners of the business resigned or lost their job,no
Online abuse and harassment only,Business,Legal or regulatory sanctions,1,0.9,Legal or regulatory sanctions includes: • The business was hit with fines and regulatory sanctions • There was litigation or legal action against the business,
Malware only,Business,Legal or regulatory sanctions,2.4,0,Legal or regulatory sanctions includes: • The business was hit with fines and regulatory sanctions • There was litigation or legal action against the business,
Identity crime and misuse only,Business,Legal or regulatory sanctions,0,0,Legal or regulatory sanctions includes: • The business was hit with fines and regulatory sanctions • There was litigation or legal action against the business,
Fraud and scams only,Business,Legal or regulatory sanctions,0,0,Legal or regulatory sanctions includes: • The business was hit with fines and regulatory sanctions • There was litigation or legal action against the business,
All cybercrime,Business,Legal or regulatory sanctions,3.7,4.5,Legal or regulatory sanctions includes: • The business was hit with fines and regulatory sanctions • There was litigation or legal action against the business,no
Online abuse and harassment only,Business,Any harm,14.8,20.1,,
Malware only,Business,Any harm,22.5,20.6,,
Identity crime and misuse only,Business,Any harm,8,13.4,,
Fraud and scams only,Business,Any harm,27.1,10.9,,
All cybercrime,Business,Any harm,37.7,41.5,,no
